id_corrida,mecanismo,repeticion,tipo_manipulacion,eventos_totales,manipulaciones_inyectadas,manipulaciones_detectadas,tasa_deteccion_pct,tiempo_verificacion_ms,latencia_registro_ms,estado
1,M0,1,T1,51,1,0,0.0,0.003,0.034,NO_DETECTADO
2,M0,1,T2,51,1,0,0.0,0.001,0.023,NO_DETECTADO
3,M0,1,T3,61,1,0,0.0,0.001,0.024,NO_DETECTADO
4,M0,1,T4,54,1,0,0.0,0.001,0.023,NO_DETECTADO
5,M0,1,T5,59,1,0,0.0,0.001,0.026,NO_DETECTADO
6,M0,2,T1,47,1,0,0.0,0.001,0.034,NO_DETECTADO
7,M0,2,T2,59,1,0,0.0,0.001,0.03,NO_DETECTADO
8,M0,2,T3,62,1,0,0.0,0.001,0.024,NO_DETECTADO
9,M0,2,T4,63,1,0,0.0,0.002,0.042,NO_DETECTADO
10,M0,2,T5,58,1,0,0.0,0.002,0.061,NO_DETECTADO
11,M0,3,T1,65,1,0,0.0,0.001,0.033,NO_DETECTADO
12,M0,3,T2,47,1,0,0.0,0.001,0.024,NO_DETECTADO
13,M0,3,T3,56,1,0,0.0,0.001,0.034,NO_DETECTADO
14,M0,3,T4,55,1,0,0.0,0.001,0.025,NO_DETECTADO
15,M0,3,T5,61,1,0,0.0,0.003,0.267,NO_DETECTADO
16,M0,4,T1,52,1,0,0.0,0.003,0.122,NO_DETECTADO
17,M0,4,T2,58,1,0,0.0,0.001,0.03,NO_DETECTADO
18,M0,4,T3,53,1,0,0.0,0.001,0.034,NO_DETECTADO
19,M0,4,T4,65,1,0,0.0,0.001,0.024,NO_DETECTADO
20,M0,4,T5,61,1,0,0.0,0.001,0.031,NO_DETECTADO
21,M0,5,T1,49,1,0,0.0,0.001,0.024,NO_DETECTADO
22,M0,5,T2,53,1,0,0.0,0.001,0.024,NO_DETECTADO
23,M0,5,T3,63,1,0,0.0,0.001,0.025,NO_DETECTADO
24,M0,5,T4,57,1,0,0.0,0.001,0.034,NO_DETECTADO
25,M0,5,T5,46,1,0,0.0,0.001,0.027,NO_DETECTADO
26,M0,6,T1,49,1,0,0.0,0.001,0.023,NO_DETECTADO
27,M0,6,T2,48,1,0,0.0,0.001,0.024,NO_DETECTADO
28,M0,6,T3,64,1,0,0.0,0.001,0.026,NO_DETECTADO
29,M0,6,T4,52,1,0,0.0,0.001,0.024,NO_DETECTADO
30,M0,6,T5,45,1,0,0.0,0.001,0.028,NO_DETECTADO
31,M0,7,T1,51,1,0,0.0,0.001,0.027,NO_DETECTADO
32,M0,7,T2,63,1,0,0.0,0.001,0.023,NO_DETECTADO
33,M0,7,T3,65,1,0,0.0,0.001,0.022,NO_DETECTADO
34,M0,7,T4,55,1,0,0.0,0.001,0.025,NO_DETECTADO
35,M0,7,T5,48,1,0,0.0,0.001,0.024,NO_DETECTADO
36,M0,8,T1,59,1,0,0.0,0.001,0.024,NO_DETECTADO
37,M0,8,T2,57,1,0,0.0,0.001,0.026,NO_DETECTADO
